player 2 initial hand  1 2 4 1
player 2 draws a 1 from deck 2
player 2 discards a 1 to deck 3
player 2 current hand  2 4 1 1

player 2 draws a 2 from deck 2
player 2 discards a 1 to deck 3
player 2 current hand  2 4 1 2

player 2 draws a 1 from deck 2
player 2 discards a 1 to deck 3
player 2 current hand  2 4 2 1

player 2 draws a 3 from deck 2
player 2 discards a 1 to deck 3
player 2 current hand  2 4 2 3

player 2 draws a 2 from deck 2
player 2 discards a 4 to deck 3
player 2 current hand  2 2 3 2

player 2 draws a 3 from deck 2
player 2 discards a 3 to deck 3
player 2 current hand  2 2 2 3

player 2 draws a 4 from deck 2
player 2 discards a 3 to deck 3
player 2 current hand  2 2 2 4

player 2 draws a 2 from deck 2
player 2 discards a 4 to deck 3
player 2 current hand  2 2 2 2
